1 => cctv1 | CCTV1
415544 => 415544 | Now Sports 英超6台
415545 => 415545 | Now Sports 英超7台
416310 => 416310 | myTV SUPER直播足球7台
42 => 42 | 厦门1
42 => 42 | 甘肃卫视
420138 => 420138 | TV5MONDE Style
420293 => 420293 | COLORS
421332 => 421332 | Now Sports 647
425921 => 425921 | 福建海峽衛視國際頻道
425922 => 425922 | 北京電視台國際頻道
425923 => 425923 | 湖南電視台國際頻道
425924 => 425924 | 中國中央電視台戲曲頻道
425925 => 425925 | 中國中央電視台娛樂頻道
425926 => 425926 | 廣東廣播電視台大灣區衛視頻道
425927 => 425927 | 深圳衛視國際頻道
425928 => 425928 | 江蘇電視台國際頻道
425930 => 425930 | 安徽廣播電視台國際頻道
425931 => 425931 | 中國中央電視台中文國際頻道
425932 => 425932 | 浙江電視台國際頻道
425933 => 425933 | 雲南瀾湄國際衛視
43 => 43 | 厦门2
43 => 43 | 广西卫视
430245 => 430245 | TRACE Urban
430246 => 430246 | Concerto
430247 => 430247 | NewsWorld
430248 => 430248 | Action Hollywod Movies
430249 => 430249 | TRACE Sport Stars
430250 => 430250 | PULSE Documentaries
430251 => 430251 | NOW 80s
430252 => 430252 | NOW 90s00s
430253 => 430253 | NOW 70s
430254 => 430254 | Globetrotter
430255 => 430255 | Rialto Classic Movies (RCM)
430256 => 430256 | Pet Club TV
430257 => 430257 | DocsVille
430258 => 430258 | NOW ROCK
430550 => 430550 | SUPER EYT
430551 => 430551 | SUPER煲劇
430552 => 430552 | SUPER識嘆
430553 => 430553 | SUPER Music
430554 => 430554 | SUPER識食
430555 => 430555 | SUPER劇場
430853 => 430853 | SUPER Sports
430854 => 430854 | SUPER獎門人
431161 => 431161 | SUPER金曲
431446 => 431446 | SUPER話當年 (免費)
434232 => 434232 | NHK WORLD-JAPAN
434391 => 434391 | Pet Club TV
44 => 44 | 厦门3
44 => 44 | 贵州卫视
443416 => 443416 | ROCK Extreme
45 => 45 | 北京卫视
45 => 45 | 河北卫视
456500 => 456500 | 南桃園節目總表
456501 => 456501 | 南桃園公用頻道
456502 => 456502 | CNN
